name,email,phone,age,gender,address
John Doe,johndoe@email.com,555-1234,35,Male,123 Main St
Jane Smith,janesmith@email.com,555-5678,42,Female,456 Elm St
Bob Johnson,bobjohnson@email.com,555-9012,28,Male,789 Oak Ave
Mary White,marywhite@email.com,555-3456,53,Female,321 Pine St
Tom Brown,tombrown@email.com,555-7890,21,Male,654 Maple Dr
Sara Lee,saralee@email.com,555-2345,47,Female,987 Cedar Ln
Mike Jones,mikejones@email.com,555-6789,39,Male,246 Birch Rd
Emily Davis,emilydavis@email.com,555-4321,31,Female,135 Oak Ave
Adam Smith,adamsmith@email.com,555-8765,44,Male,864 Elm St
Karen Black,karenblack@email.com,555-2109,50,Female,753 Main St
